symbol,trigger_date,trigger_ts,oi_mc,oi_coins,oi_usd,mc_usd,surge_15m,price_before_24h,price_at_trigger,price_after_24h,price_after_48h,price_after_7d,change_before_24h_pct,return_24h_pct,return_48h_pct,return_7d_pct
TNSR/USDT,2025-11-19,2025-11-19 12:30:00,0.4437,148452222.0,7661619.0,17269080.0,0.1393,0.03762,0.05161,0.28826,0.21429,0.14927,37.19,458.54,315.21,189.23
ALLO/USDT,2025-11-21,2025-11-21 12:00:00,0.2114,46562919.0,10928317.0,51693445.0,0.1377,0.1626,0.2347,0.1614,0.1532,0.1636,44.34,-31.23,-34.73,-30.29
ENSO/USDT,2025-11-21,2025-11-21 17:45:00,0.2082,4286366.0,4149202.0,19931120.0,0.1101,0.808,0.968,0.808,0.77,0.7704,19.8,-16.53,-20.45,-20.41
JELLYJELLY/USDT,2025-11-21,2025-11-21 04:45:00,0.3288,328773027.0,17766894.0,54039951.0,0.1069,0.03679,0.05404,0.03758,0.04008,0.04018,46.89,-30.46,-25.83,-25.65
PARTI/USDT,2025-11-21,2025-11-21 18:15:00,0.3511,81815238.0,6199959.0,17656740.0,0.3841,0.06024,0.07578,0.06776,0.08352,0.10121,25.8,-10.58,10.21,33.56
PIXEL/USDT,2025-11-21,2025-11-21 00:30:00,0.2079,160293441.0,2563092.0,12328956.0,0.1058,0.01268,0.01599,0.01381,0.01276,0.01219,26.1,-13.63,-20.2,-23.76
PIPPIN/USDT,2025-11-22,2025-11-22 21:30:00,0.3553,355227765.0,10745640.0,30248093.0,0.1175,0.02219,0.03025,0.02798,0.06548,0.09855,36.32,-7.5,116.46,225.79
TA/USDT,2025-11-23,2025-11-23 07:00:00,0.5978,107611193.0,3130410.0,5236200.0,0.1099,0.02451,0.02909,0.02664,0.02776,0.02773,18.69,-8.42,-4.57,-4.68
BANANAS31/USDT,2025-11-24,2025-11-24 13:45:00,0.3103,3103429280.0,11861307.0,38220000.0,0.1198,0.002395,0.003822,0.003392,0.004421,0.003717,59.58,-11.25,15.67,-2.75
TRADOOR/USDT,2025-11-24,2025-11-24 08:00:00,0.2561,3674938.0,6269444.0,24479394.0,0.3245,0.994,1.706,1.168,1.514,5.111,71.63,-31.54,-11.25,199.59
H/USDT,2025-11-25,2025-11-25 15:15:00,0.9651,109480207.0,14740415.0,15273641.0,0.1105,0.12158,0.13464,0.15774,0.1222,0.12612,10.74,17.16,-9.24,-6.33
TAC/USDT,2025-11-26,2025-11-26 13:45:00,0.464,1282574143.0,13242578.0,28541786.0,0.5526,0.00426,0.010325,0.005708,0.005189,0.004622,142.37,-44.72,-49.74,-55.23
AKE/USDT,2025-11-27,2025-11-27 03:00:00,0.3143,7165806879.0,3463951.0,11019707.0,0.1234,0.0003514,0.0004834,0.0004005,0.0004309,0.0003859,37.56,-17.15,-10.86,-20.17
SUPER/USDT,2025-11-27,2025-11-27 11:15:00,2.9071,37500806.0,11133989.0,3829960.0,0.1091,0.2022,0.2969,0.2401,0.262,0.2589,46.83,-19.13,-11.75,-12.8
MLN/USDT,2025-11-28,2025-11-28 20:45:00,0.2311,757263.0,5724150.0,24771369.0,0.1106,5.3,7.559,5.787,6.056,5.065,42.62,-23.44,-19.88,-32.99
PARTI/USDT,2025-11-30,2025-11-30 13:30:00,0.6287,146477612.0,15923581.0,25329430.0,0.1448,0.09842,0.10871,0.10233,0.11628,0.12783,10.46,-5.87,6.96,17.59
JELLYJELLY/USDT,2025-12-01,2025-12-01 23:45:00,0.3009,300886222.0,13226958.0,43959960.0,0.1942,0.03659,0.04396,0.03931,0.04573,0.04009,20.14,-10.58,4.03,-8.8
TRADOOR/USDT,2025-12-01,2025-12-01 10:15:00,0.2746,3939726.0,17756345.0,64670943.0,0.3128,3.501,4.507,1.49,1.472,1.65,28.73,-66.94,-67.34,-63.39
ACT/USDT,2025-12-03,2025-12-03 02:15:00,0.2214,189826173.0,4774128.0,21564627.0,0.1447,0.02063,0.02515,0.02283,0.02534,0.02142,21.91,-9.22,0.76,-14.83
SAPIEN/USDT,2025-12-03,2025-12-03 14:30:00,0.2086,52155134.0,8437136.0,40442500.0,0.1113,0.11769,0.16177,0.15559,0.18501,0.14571,37.45,-3.82,14.37,-9.93
HIPPO/USDT,2025-12-04,2025-12-04 03:15:00,0.3036,3036259307.0,4029116.0,13270000.0,0.1217,0.00113,0.001327,0.001283,0.001225,0.001122,17.43,-3.32,-7.69,-15.45
PTB/USDT,2025-12-04,2025-12-04 14:15:00,0.2021,418541095.0,2754000.0,13626361.0,0.1096,0.00608,0.00658,0.00491,0.004,0.003319,8.22,-25.38,-39.21,-49.56
SKYAI/USDT,2025-12-04,2025-12-04 14:15:00,0.2396,239621473.0,8302884.0,34650000.0,0.1228,0.0273,0.03465,0.03178,0.03578,0.02943,26.92,-8.28,3.26,-15.06
TA/USDT,2025-12-04,2025-12-04 17:45:00,0.5033,90592925.0,2786638.0,5536800.0,0.1473,0.02594,0.03076,0.02785,0.02839,0.02527,18.58,-9.46,-7.7,-17.85
XNY/USDT,2025-12-04,2025-12-04 17:45:00,0.3597,899336205.0,10456582.0,29067500.0,0.968,0.004192,0.011627,0.005928,0.004774,0.004544,177.36,-49.02,-58.94,-60.92
FHE/USDT,2025-12-07,2025-12-07 18:45:00,1.1797,293744855.0,12334346.0,10455510.0,0.2021,0.01604,0.04199,0.03006,0.04409,0.08037,161.78,-28.41,5.0,91.4
HEMI/USDT,2025-12-07,2025-12-07 01:00:00,0.2343,229046921.0,3788436.0,16167850.0,0.1352,0.01411,0.01654,0.0164,0.01563,0.01477,17.22,-0.85,-5.5,-10.7
ALLO/USDT,2025-12-09,2025-12-09 02:15:00,0.2916,64226902.0,12601318.0,43213694.0,0.1898,0.1541,0.1962,0.1565,0.1434,0.1166,27.32,-20.23,-26.91,-40.57
PROMPT/USDT,2025-12-12,2025-12-12 22:15:00,0.2878,64444515.0,4070316.0,14141543.0,0.1467,0.04931,0.06316,0.07279,0.05967,0.05166,28.09,15.25,-5.53,-18.21
BAS/USDT,2025-12-14,2025-12-14 15:45:00,0.3511,877629824.0,8808771.0,25092500.0,0.2231,0.005235,0.010037,0.006919,0.008187,0.005322,91.73,-31.07,-18.43,-46.98
FHE/USDT,2025-12-14,2025-12-14 15:30:00,0.775,192969974.0,15256206.0,19685940.0,0.4018,0.0451,0.07906,0.07054,0.09246,0.04394,75.3,-10.78,16.95,-44.42
SWARMS/USDT,2025-12-15,2025-12-15 17:30:00,0.4499,449934391.0,10460975.0,23249647.0,0.1742,0.01218,0.02325,0.01867,0.01626,0.01693,90.89,-19.7,-30.06,-27.18
EDEN/USDT,2025-12-16,2025-12-16 05:15:00,0.4242,67594751.0,5901698.0,13911907.0,0.3724,0.06757,0.08731,0.07014,0.06029,0.06359,29.21,-19.67,-30.95,-27.17
PTB/USDT,2025-12-16,2025-12-16 17:45:00,1.0678,2211207876.0,13833316.0,12955398.0,0.126,0.002942,0.006256,0.00441,0.003022,0.003123,112.64,-29.51,-51.69,-50.08
ACT/USDT,2025-12-17,2025-12-17 15:00:00,0.3572,306270343.0,7767016.0,21744690.0,0.1746,0.02066,0.02536,0.02816,0.03154,0.04194,22.75,11.04,24.37,65.38
H/USDT,2025-12-17,2025-12-17 21:15:00,1.6899,191697996.0,16742903.0,9907901.0,0.1878,0.07055,0.08734,0.09315,0.10121,0.15196,23.8,6.65,15.88,73.99
D/USDT,2025-12-23,2025-12-23 16:45:00,0.2118,194143170.0,3114056.0,14705052.0,0.1062,0.01339,0.01604,0.01554,0.01458,0.01423,19.79,-3.12,-9.1,-11.28
ZBT/USDT,2025-12-24,2025-12-24 03:45:00,0.2321,56863510.0,5203011.0,22416785.0,0.1324,0.0727,0.0915,0.1132,0.1513,0.1573,25.86,23.72,65.36,71.91
ZKP/USDT,2025-12-26,2025-12-26 06:15:00,0.2673,53903747.0,8908133.0,33327433.0,0.1903,0.13277,0.16526,0.15344,0.15785,0.12422,24.47,-7.15,-4.48,-24.83
TA/USDT,2025-12-29,2025-12-29 00:15:00,0.7252,130529870.0,3623509.0,4996800.0,0.123,0.02179,0.02776,0.02434,0.02552,0.02807,27.4,-12.32,-8.07,1.12
TRADOOR/USDT,2025-12-30,2025-12-30 14:15:00,0.3643,5227656.0,10115514.0,27765315.0,0.3022,1.421,1.935,1.451,1.56,1.59,36.17,-25.01,-19.38,-17.83
STORJ/USDT,2026-01-05,2026-01-05 12:30:00,0.2913,41889731.0,6358861.0,21826933.0,0.1008,0.1308,0.1518,0.1459,0.1408,0.1326,16.06,-3.89,-7.25,-12.65
ZKP/USDT,2026-01-07,2026-01-07 10:30:00,0.2834,57154009.0,8477654.0,29913217.0,0.2716,0.12373,0.14833,0.1739,0.16549,0.14047,19.88,17.24,11.57,-5.3
TA/USDT,2026-01-08,2026-01-08 11:45:00,0.7594,136695737.0,6267500.0,8253000.0,0.1971,0.03427,0.04585,0.04462,0.0403,0.03738,33.79,-2.68,-12.1,-18.47
DOLO/USDT,2026-01-12,2026-01-12 14:00:00,0.2921,135156600.0,7390363.0,25297357.0,0.2779,0.0417,0.05468,0.05838,0.05784,0.05609,31.13,6.77,5.78,2.58
FHE/USDT,2026-01-15,2026-01-15 13:45:00,0.8617,214575243.0,16387111.0,19016130.0,0.1522,0.0466,0.07637,0.10009,0.14082,0.16278,63.88,31.06,84.39,113.15
