timestamp,open,high,low,close,volume
2025-11-19 11:30:00+00:00,0.04154,0.0419,0.04088,0.0411,21164978.0
2025-11-19 11:45:00+00:00,0.0411,0.04237,0.04078,0.04217,12904251.5
2025-11-19 12:00:00+00:00,0.04218,0.04414,0.0415,0.0433,52313116.5
2025-11-19 12:15:00+00:00,0.04331,0.04645,0.0431,0.04531,114249018.8
2025-11-19 12:30:00+00:00,0.0453,0.05206,0.04439,0.05161,315923572.6
2025-11-19 12:45:00+00:00,0.05162,0.05986,0.05075,0.05741,585709087.6
2025-11-19 13:00:00+00:00,0.05741,0.0685,0.05741,0.06398,975527308.2
2025-11-19 13:15:00+00:00,0.06398,0.0715,0.06315,0.0673,656363302.9
2025-11-19 13:30:00+00:00,0.06732,0.071,0.06502,0.06679,534208461.8
2025-11-19 13:45:00+00:00,0.06676,0.0744,0.06102,0.07141,795066431.6
2025-11-19 14:00:00+00:00,0.07139,0.075,0.06906,0.07155,508283505.3
2025-11-19 14:15:00+00:00,0.07157,0.07595,0.0705,0.07402,514039204.1
2025-11-19 14:30:00+00:00,0.07403,0.084,0.07331,0.08091,724988338.5
2025-11-19 14:45:00+00:00,0.08088,0.0838,0.07764,0.0814,452662371.1
2025-11-19 15:00:00+00:00,0.0814,0.08329,0.07663,0.07976,476100437.0
2025-11-19 15:15:00+00:00,0.07979,0.0842,0.077,0.08298,508417091.2
2025-11-19 15:30:00+00:00,0.08299,0.088,0.07971,0.08344,585709713.6
2025-11-19 15:45:00+00:00,0.08348,0.08549,0.08176,0.08282,317003578.8
2025-11-19 16:00:00+00:00,0.08286,0.08599,0.07318,0.0844,970653944.8
2025-11-19 16:15:00+00:00,0.0844,0.08888,0.08201,0.08265,436058175.7
2025-11-19 16:30:00+00:00,0.08263,0.08483,0.078,0.07917,374409474.1
2025-11-19 16:45:00+00:00,0.07923,0.085,0.07534,0.08343,480018692.0
2025-11-19 17:00:00+00:00,0.0834,0.0835,0.07769,0.07947,337461670.0
2025-11-19 17:15:00+00:00,0.07946,0.08023,0.07551,0.07867,321443066.3
2025-11-19 17:30:00+00:00,0.07864,0.07865,0.07367,0.07608,366011570.6
2025-11-19 17:45:00+00:00,0.07608,0.084,0.07595,0.08236,440821994.5
2025-11-19 18:00:00+00:00,0.08232,0.08237,0.079,0.08084,268521699.8
2025-11-19 18:15:00+00:00,0.08082,0.08497,0.07987,0.07993,257019546.3
2025-11-19 18:30:00+00:00,0.07991,0.08092,0.07661,0.07735,246806360.7
2025-11-19 18:45:00+00:00,0.07734,0.081,0.07633,0.07906,202746096.0
2025-11-19 19:00:00+00:00,0.07906,0.07921,0.07603,0.07887,203175486.9
2025-11-19 19:15:00+00:00,0.07887,0.079,0.07688,0.07715,143931647.5
2025-11-19 19:30:00+00:00,0.07716,0.07895,0.0755,0.07831,179364943.2
2025-11-19 19:45:00+00:00,0.0783,0.08183,0.07806,0.08041,204162806.5
2025-11-19 20:00:00+00:00,0.0804,0.08429,0.07891,0.08273,265755063.0
2025-11-19 20:15:00+00:00,0.08274,0.08549,0.08072,0.08276,229714353.8
2025-11-19 20:30:00+00:00,0.08276,0.0834,0.0812,0.08187,106644126.3
2025-11-19 20:45:00+00:00,0.08187,0.08202,0.07919,0.08026,159269686.6
2025-11-19 21:00:00+00:00,0.08026,0.08026,0.07843,0.07898,112103972.6
2025-11-19 21:15:00+00:00,0.07898,0.0828,0.078,0.07818,200259541.0
2025-11-19 21:30:00+00:00,0.07817,0.07976,0.07757,0.07903,110506377.1
2025-11-19 21:45:00+00:00,0.07902,0.0796,0.07726,0.07845,101647377.9
2025-11-19 22:00:00+00:00,0.07845,0.07845,0.07278,0.07298,221329036.7
2025-11-19 22:15:00+00:00,0.073,0.08029,0.06931,0.07814,396002901.8
2025-11-19 22:30:00+00:00,0.07814,0.082,0.07606,0.0763,230749094.7
2025-11-19 22:45:00+00:00,0.07629,0.07751,0.07512,0.07634,122195671.9
2025-11-19 23:00:00+00:00,0.07634,0.08048,0.07485,0.0776,174478074.8
2025-11-19 23:15:00+00:00,0.07761,0.08089,0.07752,0.0782,102863303.9
2025-11-19 23:30:00+00:00,0.07819,0.08035,0.07749,0.07752,101862362.8
2025-11-19 23:45:00+00:00,0.07753,0.07878,0.07675,0.07754,83415733.5
2025-11-20 00:00:00+00:00,0.07754,0.07947,0.07515,0.07854,169998096.0
