timestamp,open,high,low,close,volume
2025-10-06 00:00:00,4.1454,4.1454,4.1214,4.138,2698.27
2025-10-06 00:15:00,4.1548,4.1722,4.1345,4.1411,1333.84
2025-10-06 00:30:00,4.1471,4.1471,4.1314,4.1381,5089.18
2025-10-06 00:45:00,4.1401,4.1401,4.1176,4.126,219.99
2025-10-06 01:00:00,4.1214,4.139,4.1041,4.1321,9342.28
2025-10-06 01:15:00,4.1272,4.1618,4.1241,4.1565,2669.35
2025-10-06 01:30:00,4.1609,4.1682,4.1482,4.1503,1943.01
2025-10-06 01:45:00,4.1491,4.1572,4.1482,4.1511,1219.00
2025-10-06 02:00:00,4.1512,4.1528,4.1407,4.149,484.67
2025-10-06 02:15:00,4.152,4.1555,4.1414,4.1414,14461.22
2025-10-06 02:30:00,4.1396,4.1436,4.1275,4.1434,1752.79
2025-10-06 02:45:00,4.1454,4.1707,4.1454,4.1586,99.93
2025-10-06 03:00:00,4.1567,4.161,4.1559,4.161,349.46
2025-10-06 03:15:00,4.1638,4.1658,4.1575,4.1627,99.94
2025-10-06 03:30:00,4.1657,4.1725,4.1574,4.1574,99.93
2025-10-06 03:45:00,4.1556,4.1556,4.1484,4.1536,171.58
2025-10-06 04:00:00,4.154,4.155,4.1414,4.1485,986.39
2025-10-06 04:15:00,4.1484,4.1549,4.1473,4.1516,247.96
2025-10-06 04:30:00,4.1517,4.1543,4.1377,4.1412,119.97
2025-10-06 04:45:00,4.1394,4.1478,4.1326,4.1356,2087.67
2025-10-06 05:00:00,4.1335,4.1427,4.1294,4.1294,340.60
2025-10-06 05:15:00,4.1234,4.1416,4.1214,4.1416,2127.81
2025-10-06 05:30:00,4.1403,4.1403,4.1275,4.1365,2460.58
2025-10-06 05:45:00,4.1396,4.1517,4.1379,4.1504,99.93
2025-10-06 06:00:00,4.1506,4.1659,4.1475,4.1616,207.25
2025-10-06 06:15:00,4.1646,4.1728,4.1548,4.1711,1324.39
2025-10-06 06:30:00,4.1765,4.1825,4.171,4.1734,1930.48
2025-10-06 06:45:00,4.1715,4.1745,4.1615,4.1672,149.06
2025-10-06 07:00:00,4.1687,4.1793,4.1628,4.1793,438.72
2025-10-06 07:15:00,4.1781,4.1781,4.1679,4.1698,134.43
2025-10-06 07:30:00,4.1699,4.1712,4.1426,4.1487,247.30
2025-10-06 07:45:00,4.1417,4.1538,4.1386,4.1538,100.30
2025-10-06 08:00:00,4.1558,4.1671,4.1558,4.1647,1018.47
2025-10-06 08:15:00,4.1623,4.1666,4.156,4.1641,4786.60
2025-10-06 08:30:00,4.1643,4.1767,4.1633,4.1633,8446.51
2025-10-06 08:45:00,4.1626,4.1677,4.162,4.1666,245.10
2025-10-06 09:00:00,4.1654,4.1784,4.1654,4.1706,2229.10
2025-10-06 09:15:00,4.1689,4.1784,4.1667,4.1684,104.20
2025-10-06 09:30:00,4.1666,4.1696,4.1593,4.1611,2501.75
2025-10-06 09:45:00,4.161,4.1666,4.1599,4.1616,2219.37
2025-10-06 10:00:00,4.1638,4.1669,4.1529,4.1585,2025.93
2025-10-06 10:15:00,4.1595,4.1666,4.1559,4.1643,349.93
2025-10-06 10:30:00,4.1636,4.1636,4.1549,4.1591,99.94
2025-10-06 10:45:00,4.158,4.1772,4.158,4.1735,856.13
2025-10-06 11:00:00,4.1679,4.1719,4.1576,4.1647,101.61
2025-10-06 11:15:00,4.1658,4.1878,4.1636,4.1878,189.13
2025-10-06 11:30:00,4.1901,4.1909,4.17,4.177,820.64
2025-10-06 11:45:00,4.1815,4.1819,4.1613,4.1613,251.23
2025-10-06 12:00:00,4.1657,4.1742,4.1635,4.1724,1375.41
2025-10-06 12:15:00,4.1726,4.1784,4.1696,4.1724,778.68
2025-10-06 12:30:00,4.1695,4.1782,4.1655,4.1681,1551.41
2025-10-06 12:45:00,4.172,4.1799,4.1691,4.1769,288.57
2025-10-06 13:00:00,4.1795,4.1874,4.1758,4.1786,99.93
2025-10-06 13:15:00,4.1716,4.2354,4.1705,4.1915,43274.86
2025-10-06 13:30:00,4.1949,4.2165,4.1836,4.1936,1290.58
2025-10-06 13:45:00,4.1978,4.2281,4.1931,4.2253,761.55
2025-10-06 14:00:00,4.2283,4.2383,4.2266,4.2266,507.27
2025-10-06 14:15:00,4.2328,4.2358,4.213,4.2245,2007.73
2025-10-06 14:30:00,4.2303,4.2418,4.2215,4.2225,139.16
2025-10-06 14:45:00,4.2243,4.2325,4.2114,4.2129,577.62
2025-10-06 15:00:00,4.22,4.2424,4.22,4.2374,2242.24
2025-10-06 15:15:00,4.2426,4.2728,4.2426,4.2728,842.16
2025-10-06 15:30:00,4.2597,4.2696,4.2591,4.2611,105.55
2025-10-06 15:45:00,4.2616,4.2656,4.2566,4.2605,313.66
2025-10-06 16:00:00,4.2594,4.2708,4.2409,4.2425,2422.72
2025-10-06 16:15:00,4.2449,4.247,4.2325,4.2328,751.57
2025-10-06 16:30:00,4.2297,4.2609,4.2297,4.2522,471.60
2025-10-06 16:45:00,4.2555,4.2752,4.2555,4.2752,971.20
2025-10-06 17:00:00,4.2769,4.2904,4.276,4.2834,2723.35
2025-10-06 17:15:00,4.2831,4.3,4.2771,4.2995,626.30
2025-10-06 17:30:00,4.2999,4.3056,4.2703,4.2832,3109.64
2025-10-06 17:45:00,4.284,4.2878,4.2748,4.2762,2943.21
2025-10-06 18:00:00,4.283,4.2897,4.2797,4.286,442.89
2025-10-06 18:15:00,4.2915,4.2918,4.2834,4.2869,711.12
2025-10-06 18:30:00,4.2832,4.284,4.2727,4.281,169.87
2025-10-06 18:45:00,4.2851,4.2931,4.2839,4.2856,304.88
2025-10-06 19:00:00,4.2848,4.2883,4.2791,4.2838,88.63
2025-10-06 19:15:00,4.2828,4.2921,4.2785,4.2898,2650.47
2025-10-06 19:30:00,4.2873,4.2951,4.2798,4.28,122.46
2025-10-06 19:45:00,4.2781,4.287,4.2781,4.2862,149.19
2025-10-06 20:00:00,4.29,4.3035,4.29,4.2978,1245.79
2025-10-06 20:15:00,4.294,4.294,4.2851,4.2886,422.96
2025-10-06 20:30:00,4.2874,4.2925,4.2748,4.2775,1357.11
2025-10-06 20:45:00,4.2762,4.2824,4.2762,4.2793,126.36
2025-10-06 21:00:00,4.2789,4.2914,4.2789,4.285,64.17
2025-10-06 21:15:00,4.2841,4.2861,4.2694,4.2813,167.31
2025-10-06 21:30:00,4.2832,4.2861,4.2739,4.2844,432.22
2025-10-06 21:45:00,4.2847,4.2865,4.2709,4.286,87.48
2025-10-06 22:00:00,4.2891,4.2952,4.287,4.2878,1191.42
2025-10-06 22:15:00,4.2884,4.2892,4.2811,4.2862,251.72
2025-10-06 22:30:00,4.2889,4.2889,4.2713,4.2761,555.42
2025-10-06 22:45:00,4.275,4.2867,4.275,4.2867,62.44
2025-10-06 23:00:00,4.2855,4.2895,4.2749,4.2749,162.97
2025-10-06 23:15:00,4.272,4.2771,4.2686,4.2771,2185.60
2025-10-06 23:30:00,4.2765,4.278,4.2728,4.2764,97.41
2025-10-06 23:45:00,4.2734,4.2761,4.2703,4.2752,2046.20
2025-10-07 00:00:00,4.2726,4.2857,4.271,4.2802,2283.14
2025-10-07 00:15:00,4.2815,4.2815,4.2651,4.2711,952.54
2025-10-07 00:30:00,4.2745,4.2789,4.2687,4.2789,125.90
2025-10-07 00:45:00,4.2795,4.2795,4.2679,4.2786,2200.64
2025-10-07 01:00:00,4.2755,4.2917,4.2755,4.2817,1456.25
2025-10-07 01:15:00,4.2763,4.2763,4.2547,4.2665,124.86
2025-10-07 01:30:00,4.2665,4.2697,4.2584,4.2697,99.65
2025-10-07 01:45:00,4.2663,4.2663,4.2537,4.2564,85.76
2025-10-07 02:00:00,4.2563,4.2609,4.2537,4.2544,166.00
2025-10-07 02:15:00,4.2545,4.2584,4.246,4.2545,238.46
2025-10-07 02:30:00,4.2581,4.2581,4.2374,4.2374,5187.90
2025-10-07 02:45:00,4.2426,4.2446,4.2402,4.2426,66.30
2025-10-07 03:00:00,4.2401,4.2441,4.2375,4.2441,254.60
2025-10-07 03:15:00,4.2402,4.2444,4.2314,4.2345,311.15
2025-10-07 03:30:00,4.2326,4.2375,4.2306,4.2335,285.01
2025-10-07 03:45:00,4.2417,4.2524,4.2417,4.2454,31545.06
2025-10-07 04:00:00,4.2422,4.2422,4.2292,4.2292,3156.40
2025-10-07 04:15:00,4.2269,4.2481,4.2263,4.2481,400.42
2025-10-07 04:30:00,4.2531,4.2766,4.2525,4.2766,393.59
2025-10-07 04:45:00,4.2787,4.2994,4.2787,4.283,307.72
2025-10-07 05:00:00,4.2845,4.2845,4.2697,4.2764,893.45
2025-10-07 05:15:00,4.2706,4.2826,4.2693,4.2783,1038.85
2025-10-07 05:30:00,4.2755,4.2945,4.2723,4.2905,176.99
2025-10-07 05:45:00,4.2895,4.2895,4.2653,4.2675,381.98
2025-10-07 06:00:00,4.2683,4.2722,4.2429,4.2535,29172.96
2025-10-07 06:15:00,4.2507,4.2507,4.2031,4.2241,37081.94
2025-10-07 06:30:00,4.2215,4.229,4.2051,4.2075,1560.78
2025-10-07 06:45:00,4.2041,4.2131,4.2041,4.2084,723.79
2025-10-07 07:00:00,4.2083,4.2218,4.2083,4.2139,79.16
2025-10-07 07:15:00,4.2139,4.2244,4.2102,4.2234,71.26
2025-10-07 07:30:00,4.2251,4.2251,4.1952,4.2057,633.47
2025-10-07 07:45:00,4.2035,4.2125,4.2035,4.2108,375.76
2025-10-07 08:00:00,4.2093,4.2093,4.1777,4.1822,2253.71
2025-10-07 08:15:00,4.1835,4.1862,4.1777,4.1779,2662.64
2025-10-07 08:30:00,4.1786,4.1998,4.1691,4.1994,890.19
2025-10-07 08:45:00,4.1988,4.2024,4.1881,4.1972,262.54
2025-10-07 09:00:00,4.194,4.2099,4.1929,4.2099,667.82
2025-10-07 09:15:00,4.2085,4.2141,4.2006,4.2052,1378.52
2025-10-07 09:30:00,4.2045,4.209,4.1989,4.2015,238.98
2025-10-07 09:45:00,4.201,4.2042,4.1929,4.199,167.33
2025-10-07 10:00:00,4.1983,4.2125,4.1916,4.2117,523.82
2025-10-07 10:15:00,4.2056,4.2056,4.1327,4.1758,4798.03
2025-10-07 10:30:00,4.1758,4.1941,4.1758,4.1838,1655.53
2025-10-07 10:45:00,4.1811,4.1841,4.1745,4.1778,73.48
2025-10-07 11:00:00,4.177,4.1921,4.177,4.1811,77.11
2025-10-07 11:15:00,4.18,4.1958,4.18,4.1912,482.92
2025-10-07 11:30:00,4.1973,4.2027,4.1916,4.2016,363.20
2025-10-07 11:45:00,4.2053,4.2184,4.203,4.2184,651.06
2025-10-07 12:00:00,4.2164,4.2201,4.206,4.2201,287.22
2025-10-07 12:15:00,4.2127,4.2178,4.2044,4.2093,140.23
2025-10-07 12:30:00,4.2086,4.2135,4.2052,4.2097,393.99
2025-10-07 12:45:00,4.2116,4.2246,4.2116,4.2224,138.11
2025-10-07 13:00:00,4.2254,4.2296,4.218,4.2237,109.05
2025-10-07 13:15:00,4.2167,4.2244,4.2167,4.2238,92.10
2025-10-07 13:30:00,4.2232,4.2249,4.1569,4.1717,4383.40
2025-10-07 13:45:00,4.1653,4.1941,4.1653,4.1872,1816.36
2025-10-07 14:00:00,4.1909,4.1909,4.1288,4.141,3823.21
2025-10-07 14:15:00,4.1442,4.1648,4.1382,4.1382,1769.16
2025-10-07 14:30:00,4.1312,4.1482,4.1182,4.1257,366.68
2025-10-07 14:45:00,4.1369,4.1409,4.1221,4.1225,443.46
2025-10-07 15:00:00,4.1149,4.1149,4.042,4.0805,19802.15
2025-10-07 15:15:00,4.0771,4.0963,4.0719,4.0719,581.08
2025-10-07 15:30:00,4.0641,4.0655,4.0432,4.0499,3166.99
2025-10-07 15:45:00,4.0452,4.064,4.0393,4.0587,2471.32
2025-10-07 16:00:00,4.0531,4.0609,4.0445,4.049,5952.69
2025-10-07 16:15:00,4.0541,4.0646,4.0414,4.052,1280.58
2025-10-07 16:30:00,4.0445,4.0783,4.0429,4.0775,1214.28
2025-10-07 16:45:00,4.0741,4.0954,4.0702,4.0702,613.61
2025-10-07 17:00:00,4.0739,4.0813,4.0716,4.0797,4330.70
2025-10-07 17:15:00,4.0748,4.0827,4.0705,4.0746,530.66
2025-10-07 17:30:00,4.0747,4.0774,4.0632,4.0684,1304.22
2025-10-07 17:45:00,4.0713,4.0744,4.0516,4.0522,259.37
2025-10-07 18:00:00,4.0514,4.0659,4.0494,4.0659,811.97
2025-10-07 18:15:00,4.0641,4.0641,4.0483,4.0504,213.26
2025-10-07 18:30:00,4.054,4.0587,4.0494,4.057,972.97
2025-10-07 18:45:00,4.0572,4.0572,4.046,4.046,135.71
2025-10-07 19:00:00,4.048,4.0639,4.048,4.0574,141.67
2025-10-07 19:15:00,4.0637,4.067,4.0532,4.0542,508.04
2025-10-07 19:30:00,4.0549,4.0667,4.0513,4.0513,100.98
2025-10-07 19:45:00,4.0525,4.0742,4.0504,4.0625,1576.12
2025-10-07 20:00:00,4.0606,4.0873,4.0606,4.0846,298.98
2025-10-07 20:15:00,4.0812,4.0929,4.0769,4.0928,131.98
2025-10-07 20:30:00,4.0938,4.0969,4.084,4.084,121.21
2025-10-07 20:45:00,4.0852,4.0905,4.0787,4.0787,409.83
2025-10-07 21:00:00,4.0758,4.0893,4.0738,4.0893,1246.33
2025-10-07 21:15:00,4.0893,4.0903,4.0855,4.0888,104.83
2025-10-07 21:30:00,4.0879,4.0879,4.0682,4.0682,163.41
2025-10-07 21:45:00,4.0725,4.0725,4.0611,4.0674,111.93
2025-10-07 22:00:00,4.0637,4.0736,4.0583,4.0694,284.39
2025-10-07 22:15:00,4.0756,4.0816,4.0723,4.0746,111.61
2025-10-07 22:30:00,4.0743,4.0782,4.0703,4.0728,141.95
2025-10-07 22:45:00,4.0744,4.0802,4.0711,4.0745,177.16
2025-10-07 23:00:00,4.0724,4.0765,4.0647,4.0647,102.91
2025-10-07 23:15:00,4.0656,4.0712,4.0643,4.0702,196.92
2025-10-07 23:30:00,4.0693,4.0693,4.0502,4.0551,147.20
2025-10-07 23:45:00,4.0541,4.0585,4.05,4.0505,833.03
2025-10-08 00:00:00,4.0537,4.0653,4.0537,4.0588,751.60
2025-10-08 00:15:00,4.0669,4.075,4.0659,4.0673,946.94
2025-10-08 00:30:00,4.0664,4.0797,4.0535,4.0782,3371.42
2025-10-08 00:45:00,4.0764,4.0821,4.0751,4.0761,2642.73
2025-10-08 01:00:00,4.0765,4.0821,4.0725,4.0762,840.01
2025-10-08 01:15:00,4.0712,4.087,4.0712,4.0847,122.08
2025-10-08 01:30:00,4.0767,4.0831,4.0767,4.0787,587.44
2025-10-08 01:45:00,4.0798,4.0848,4.0798,4.0809,1735.00
2025-10-08 02:00:00,4.0809,4.0824,4.0691,4.0728,283.15
2025-10-08 02:15:00,4.0784,4.0885,4.0746,4.0834,102.49
2025-10-08 02:30:00,4.082,4.082,4.066,4.0673,132.54
2025-10-08 02:45:00,4.0641,4.0727,4.0636,4.0639,93.39
2025-10-08 03:00:00,4.0627,4.0628,4.043,4.0466,208.40
2025-10-08 03:15:00,4.0478,4.0483,4.0118,4.0227,4650.91
2025-10-08 03:30:00,4.0221,4.0333,4.0196,4.0279,3547.58
2025-10-08 03:45:00,4.024,4.0388,4.0224,4.0253,120.86
2025-10-08 04:00:00,4.0263,4.0421,4.0114,4.0392,1359.32
2025-10-08 04:15:00,4.0471,4.0501,4.0363,4.0461,161.30
2025-10-08 04:30:00,4.0457,4.0529,4.0431,4.0442,548.96
2025-10-08 04:45:00,4.0527,4.0527,4.0437,4.0505,111.81
2025-10-08 05:00:00,4.048,4.048,4.0361,4.0379,122.49
2025-10-08 05:15:00,4.0341,4.0363,4.0238,4.0287,105.98
2025-10-08 05:30:00,4.0299,4.0332,4.0254,4.0254,2184.73
2025-10-08 05:45:00,4.0255,4.0416,4.0255,4.0415,77.76
2025-10-08 06:00:00,4.0385,4.0479,4.029,4.0439,140.36
2025-10-08 06:15:00,4.038,4.047,4.0318,4.0327,126.23
2025-10-08 06:30:00,4.0387,4.0467,4.0332,4.0429,351.02
2025-10-08 06:45:00,4.0429,4.055,4.0429,4.0505,675.04
2025-10-08 07:00:00,4.0496,4.0568,4.0449,4.0459,6246.78
2025-10-08 07:15:00,4.0493,4.0551,4.0453,4.0525,67.64
2025-10-08 07:30:00,4.0564,4.0564,4.0428,4.0515,356.79
2025-10-08 07:45:00,4.0513,4.0659,4.0486,4.0659,201.02
2025-10-08 08:00:00,4.0657,4.0673,4.0582,4.061,2201.55
2025-10-08 08:15:00,4.0603,4.0707,4.0603,4.063,130.53
2025-10-08 08:30:00,4.0627,4.0871,4.0627,4.0839,992.75
2025-10-08 08:45:00,4.0848,4.0848,4.0705,4.0734,4432.57
2025-10-08 09:00:00,4.0744,4.0774,4.0701,4.0709,4914.29
2025-10-08 09:15:00,4.0707,4.0707,4.0592,4.0593,115.24
2025-10-08 09:30:00,4.0609,4.066,4.0596,4.0657,79.17
2025-10-08 09:45:00,4.065,4.0675,4.061,4.0675,1626.60
2025-10-08 10:00:00,4.0675,4.0777,4.0674,4.0685,17714.53
2025-10-08 10:15:00,4.0685,4.0746,4.0669,4.0702,1859.57
2025-10-08 10:30:00,4.0693,4.0793,4.0692,4.0752,3198.73
